File,NEF,TIFF
r001d260dt,http://193.205.194.113/RAISE/NEF/r001d260dt.NEF, http://193.205.194.113/RAISE/TIFF/r001d260dt.TIF
r002fc3e2t,http://193.205.194.113/RAISE/NEF/r002fc3e2t.NEF, http://193.205.194.113/RAISE/TIFF/r002fc3e2t.TIF
r00444b95t,http://193.205.194.113/RAISE/NEF/r00444b95t.NEF, http://193.205.194.113/RAISE/TIFF/r00444b95t.TIF
r00617aa1t,http://193.205.194.113/RAISE/NEF/r00617aa1t.NEF, http://193.205.194.113/RAISE/TIFF/r00617aa1t.TIF
r00679daet,http://193.205.194.113/RAISE/NEF/r00679daet.NEF, http://193.205.194.113/RAISE/TIFF/r00679daet.TIF
r006fcc20t,http://193.205.194.113/RAISE/NEF/r006fcc20t.NEF, http://193.205.194.113/RAISE/TIFF/r006fcc20t.TIF
r007f5116t,http://193.205.194.113/RAISE/NEF/r007f5116t.NEF, http://193.205.194.113/RAISE/TIFF/r007f5116t.TIF
r00816405t,http://193.205.194.113/RAISE/NEF/r00816405t.NEF, http://193.205.194.113/RAISE/TIFF/r00816405t.TIF
r00879054t,http://193.205.194.113/RAISE/NEF/r00879054t.NEF, http://193.205.194.113/RAISE/TIFF/r00879054t.TIF
r008a2095t,http://193.205.194.113/RAISE/NEF/r008a2095t.NEF, http://193.205.194.113/RAISE/TIFF/r008a2095t.TIF
r008ed083t,http://193.205.194.113/RAISE/NEF/r008ed083t.NEF, http://193.205.194.113/RAISE/TIFF/r008ed083t.TIF
r00c4a543t,http://193.205.194.113/RAISE/NEF/r00c4a543t.NEF, http://193.205.194.113/RAISE/TIFF/r00c4a543t.TIF
r00d161b7t,http://193.205.194.113/RAISE/NEF/r00d161b7t.NEF, http://193.205.194.113/RAISE/TIFF/r00d161b7t.TIF
r00de2590t,http://193.205.194.113/RAISE/NEF/r00de2590t.NEF, http://193.205.194.113/RAISE/TIFF/r00de2590t.TIF
r01170470t,http://193.205.194.113/RAISE/NEF/r01170470t.NEF, http://193.205.194.113/RAISE/TIFF/r01170470t.TIF
r01291f20t,http://193.205.194.113/RAISE/NEF/r01291f20t.NEF, http://193.205.194.113/RAISE/TIFF/r01291f20t.TIF
r01292fd8t,http://193.205.194.113/RAISE/NEF/r01292fd8t.NEF, http://193.205.194.113/RAISE/TIFF/r01292fd8t.TIF
r012b0f30t,http://193.205.194.113/RAISE/NEF/r012b0f30t.NEF, http://193.205.194.113/RAISE/TIFF/r012b0f30t.TIF
r012d1dbet,http://193.205.194.113/RAISE/NEF/r012d1dbet.NEF, http://193.205.194.113/RAISE/TIFF/r012d1dbet.TIF
r0141f0c9t,http://193.205.194.113/RAISE/NEF/r0141f0c9t.NEF, http://193.205.194.113/RAISE/TIFF/r0141f0c9t.TIF
r01474187t,http://193.205.194.113/RAISE/NEF/r01474187t.NEF, http://193.205.194.113/RAISE/TIFF/r01474187t.TIF
r0149a21ct,http://193.205.194.113/RAISE/NEF/r0149a21ct.NEF, http://193.205.194.113/RAISE/TIFF/r0149a21ct.TIF
r01511e3et,http://193.205.194.113/RAISE/NEF/r01511e3et.NEF, http://193.205.194.113/RAISE/TIFF/r01511e3et.TIF
r01559391t,http://193.205.194.113/RAISE/NEF/r01559391t.NEF, http://193.205.194.113/RAISE/TIFF/r01559391t.TIF
r015b453ft,http://193.205.194.113/RAISE/NEF/r015b453ft.NEF, http://193.205.194.113/RAISE/TIFF/r015b453ft.TIF
r0176fbcat,http://193.205.194.113/RAISE/NEF/r0176fbcat.NEF, http://193.205.194.113/RAISE/TIFF/r0176fbcat.TIF
r017904f0t,http://193.205.194.113/RAISE/NEF/r017904f0t.NEF, http://193.205.194.113/RAISE/TIFF/r017904f0t.TIF
r018ba134t,http://193.205.194.113/RAISE/NEF/r018ba134t.NEF, http://193.205.194.113/RAISE/TIFF/r018ba134t.TIF
r018e74fet,http://193.205.194.113/RAISE/NEF/r018e74fet.NEF, http://193.205.194.113/RAISE/TIFF/r018e74fet.TIF
r0191aaf4t,http://193.205.194.113/RAISE/NEF/r0191aaf4t.NEF, http://193.205.194.113/RAISE/TIFF/r0191aaf4t.TIF
r01a31693t,http://193.205.194.113/RAISE/NEF/r01a31693t.NEF, http://193.205.194.113/RAISE/TIFF/r01a31693t.TIF
r01b3f004t,http://193.205.194.113/RAISE/NEF/r01b3f004t.NEF, http://193.205.194.113/RAISE/TIFF/r01b3f004t.TIF
r01cbb7fdt,http://193.205.194.113/RAISE/NEF/r01cbb7fdt.NEF, http://193.205.194.113/RAISE/TIFF/r01cbb7fdt.TIF
r01d0b83bt,http://193.205.194.113/RAISE/NEF/r01d0b83bt.NEF, http://193.205.194.113/RAISE/TIFF/r01d0b83bt.TIF
r01d9da09t,http://193.205.194.113/RAISE/NEF/r01d9da09t.NEF, http://193.205.194.113/RAISE/TIFF/r01d9da09t.TIF
r01ef1b4at,http://193.205.194.113/RAISE/NEF/r01ef1b4at.NEF, http://193.205.194.113/RAISE/TIFF/r01ef1b4at.TIF
